plan_id,plan_name,plan_type,coverage_region,deductible_amount,out_of_pocket_max,copay_primary,copay_specialist,coinsurance_rate,effective_date,termination_date
PLAN-076,Gold HMO,HMO,National,1271.64,6285.1,24.0,47.0,20.0,7/25/2024,NULL
PLAN-077,Platinum HMO,HMO,MA,444.99,4891.64,16.0,32.0,10.0,1/12/2024,NULL
PLAN-078,Bronze EPO,EPO,OH,4087.07,8336.13,50.0,86.0,40.0,4/9/2024,NULL
PLAN-079,Silver EPO,EPO,MI,2255.26,7622.26,25.0,67.0,25.0,3/27/2025,NULL
PLAN-080,Gold EPO,EPO,CO,1096.27,5075.43,21.0,45.0,20.0,10/22/2025,3/28/2026
PLAN-081,Platinum EPO,EPO,AZ,689.82,4278.26,16.0,33.0,10.0,8/11/2023,NULL
PLAN-082,Bronze HDHP,HDHP,GA,4156.26,8951.92,43.0,90.0,40.0,8/1/2023,NULL
PLAN-083,Silver HDHP,HDHP,National,3899.22,7199.36,25.0,59.0,25.0,11/2/2023,NULL
PLAN-084,Gold HDHP,HDHP,CA,1172.98,5326.95,19.0,46.0,20.0,3/16/2023,NULL
PLAN-085,Platinum HDHP,HDHP,TX,609.18,4777.79,12.0,34.0,10.0,10/20/2023,NULL
PLAN-086,Bronze PPO,PPO,NY,5727.39,8908.03,46.0,86.0,40.0,10/1/2023,NULL
PLAN-087,Silver PPO,PPO,FL,3661.14,7242.85,29.0,58.0,25.0,4/3/2025,NULL
PLAN-088,Gold PPO,PPO,IL,1246.14,5103.44,25.0,45.0,20.0,1/12/2025,NULL
PLAN-089,Platinum PPO,PPO,WA,466.76,4362.19,17.0,29.0,10.0,7/27/2023,NULL
PLAN-090,Bronze HMO,HMO,National,5951.37,8615.91,48.0,87.0,40.0,3/24/2024,NULL
PLAN-091,Silver HMO,HMO,OH,2536.79,7851.71,26.0,63.0,25.0,7/27/2024,NULL
PLAN-092,Gold HMO,HMO,MI,1207.75,5568.48,15.0,50.0,20.0,4/25/2024,NULL
PLAN-093,Platinum HMO,HMO,CO,648.92,4340.34,19.0,33.0,10.0,3/16/2024,NULL
PLAN-094,Bronze EPO,EPO,AZ,4256.84,8720.07,47.0,88.0,40.0,1/17/2025,NULL
PLAN-095,Silver EPO,EPO,GA,2981.64,7792.93,26.0,64.0,25.0,12/16/2023,NULL
PLAN-096,Gold EPO,EPO,PA,1247.97,5553.53,23.0,51.0,20.0,7/23/2023,NULL
PLAN-097,Platinum EPO,EPO,National,425.91,4453.75,14.0,33.0,10.0,7/24/2024,NULL
PLAN-098,Bronze HDHP,HDHP,TX,4358.66,8535.86,42.0,83.0,40.0,2/24/2023,NULL
PLAN-099,Silver HDHP,HDHP,NY,3179.17,7760.21,34.0,64.0,25.0,12/16/2023,NULL
PLAN-100,Gold HDHP,HDHP,FL,884.58,5021.22,23.0,39.0,20.0,4/10/2023,NULL
PLAN-101,Platinum HDHP,HDHP,IL,598.71,4126.28,17.0,28.0,10.0,1/2/2024,NULL
PLAN-102,Bronze PPO,PPO,WA,5321.41,8184.36,40.0,84.0,40.0,10/10/2023,NULL
PLAN-103,Silver PPO,PPO,MA,3258.89,7053.61,27.0,64.0,25.0,2/27/2024,2/19/2026
PLAN-104,Gold PPO,PPO,National,1062.13,5894.19,24.0,42.0,20.0,4/4/2023,NULL
PLAN-105,Platinum PPO,PPO,MI,398.68,4588.53,16.0,34.0,10.0,7/15/2025,NULL
PLAN-106,Bronze HMO,HMO,CO,6220.27,8947.59,43.0,90.0,40.0,10/2/2025,NULL
PLAN-107,Silver HMO,HMO,AZ,2150.13,7002.68,32.0,70.0,25.0,5/22/2023,3/18/2025
PLAN-108,Gold HMO,HMO,GA,962.04,6289.41,16.0,42.0,20.0,1/8/2024,NULL
PLAN-109,Platinum HMO,HMO,PA,716.83,4425.14,18.0,32.0,10.0,11/19/2024,NULL
PLAN-110,Bronze EPO,EPO,CA,4214.23,8165.92,44.0,89.0,40.0,3/9/2025,NULL
PLAN-111,Silver EPO,EPO,National,2937.4,7304.09,31.0,63.0,25.0,10/10/2025,NULL
PLAN-112,Gold EPO,EPO,NY,1198.53,6334.13,20.0,54.0,20.0,9/16/2025,NULL
PLAN-113,Platinum EPO,EPO,FL,587.15,4860.52,19.0,25.0,10.0,1/3/2024,NULL
PLAN-114,Bronze HDHP,HDHP,IL,5954.53,8916.07,42.0,89.0,40.0,5/19/2025,8/17/2025
PLAN-115,Silver HDHP,HDHP,WA,2182.48,7347.96,30.0,65.0,25.0,11/27/2024,NULL
PLAN-116,Gold HDHP,HDHP,MA,1058.73,5743.2,25.0,47.0,20.0,2/28/2025,NULL
PLAN-117,Platinum HDHP,HDHP,OH,735.09,4404.18,18.0,25.0,10.0,1/15/2025,6/4/2026
PLAN-118,Bronze PPO,PPO,National,4562.75,8361.78,47.0,90.0,40.0,9/15/2025,NULL
PLAN-119,Silver PPO,PPO,CO,2262.03,7288.03,32.0,58.0,25.0,1/7/2024,NULL
PLAN-120,Gold PPO,PPO,AZ,1282.34,5466.13,15.0,52.0,20.0,11/20/2023,NULL
PLAN-121,Platinum PPO,PPO,GA,706.46,4461.45,11.0,29.0,10.0,2/8/2024,NULL
PLAN-122,Bronze HMO,HMO,PA,4820.27,8834.72,47.0,83.0,40.0,12/10/2024,NULL
PLAN-123,Silver HMO,HMO,CA,3843.74,7508.24,27.0,57.0,25.0,9/5/2024,NULL
PLAN-124,Gold HMO,HMO,TX,1130.8,6230.82,19.0,44.0,20.0,7/11/2024,NULL
PLAN-125,Platinum HMO,HMO,National,324.3,4538.58,15.0,35.0,10.0,10/22/2025,NULL
PLAN-126,Bronze EPO,EPO,FL,4965.33,8188.65,43.0,89.0,40.0,9/13/2025,NULL
PLAN-127,Silver EPO,EPO,IL,2087.29,7744.71,31.0,67.0,25.0,4/28/2024,NULL
PLAN-128,Gold EPO,EPO,WA,777.76,5753.44,24.0,45.0,20.0,11/5/2025,NULL
PLAN-129,Platinum EPO,EPO,MA,478.46,4722.44,16.0,29.0,10.0,8/4/2023,NULL
PLAN-130,Bronze HDHP,HDHP,OH,5015.68,8692.7,50.0,81.0,40.0,8/26/2023,NULL
PLAN-131,Silver HDHP,HDHP,MI,3908.28,7626.8,32.0,56.0,25.0,11/28/2024,NULL
PLAN-132,Gold HDHP,HDHP,National,1440.7,6496.14,16.0,48.0,20.0,2/8/2025,NULL
PLAN-133,Platinum HDHP,HDHP,AZ,471.84,4694.0,10.0,26.0,10.0,11/23/2023,NULL
PLAN-134,Bronze PPO,PPO,GA,5292.06,8244.2,46.0,89.0,40.0,1/10/2024,NULL
PLAN-135,Silver PPO,PPO,PA,3218.98,7382.54,35.0,62.0,25.0,3/6/2025,NULL
PLAN-136,Gold PPO,PPO,CA,1228.43,5689.36,25.0,35.0,20.0,10/5/2024,NULL
PLAN-137,Platinum PPO,PPO,TX,286.93,4945.24,19.0,34.0,10.0,5/22/2024,NULL
PLAN-138,Bronze HMO,HMO,NY,6535.91,8199.22,46.0,87.0,40.0,7/23/2025,NULL
PLAN-139,Silver HMO,HMO,National,3149.62,7992.69,29.0,55.0,25.0,4/13/2023,NULL
PLAN-140,Gold HMO,HMO,IL,1122.55,6356.23,19.0,42.0,20.0,7/9/2025,10/24/2025
PLAN-141,Platinum HMO,HMO,WA,560.45,4677.76,20.0,29.0,10.0,6/8/2025,NULL
PLAN-142,Bronze EPO,EPO,MA,4926.8,8440.82,49.0,85.0,40.0,2/21/2025,NULL
PLAN-143,Silver EPO,EPO,OH,2653.44,7415.5,28.0,59.0,25.0,3/3/2025,NULL
PLAN-144,Gold EPO,EPO,MI,954.4,5246.82,22.0,44.0,20.0,6/17/2025,NULL
PLAN-145,Platinum EPO,EPO,CO,733.25,4860.14,20.0,37.0,10.0,6/26/2025,NULL
PLAN-146,Bronze HDHP,HDHP,National,4041.76,8536.57,47.0,85.0,40.0,6/3/2025,NULL
PLAN-147,Silver HDHP,HDHP,GA,2762.05,7638.55,30.0,58.0,25.0,12/22/2025,NULL
PLAN-148,Gold HDHP,HDHP,PA,1235.74,5953.11,22.0,44.0,20.0,4/16/2025,10/8/2026
PLAN-149,Platinum HDHP,HDHP,CA,723.13,4304.36,17.0,28.0,10.0,7/4/2025,NULL
PLAN-150,Bronze PPO,PPO,TX,5360.93,8670.49,48.0,86.0,40.0,4/18/2023,NULL
PLAN-151,Silver PPO,PPO,NY,2829.77,7099.02,32.0,68.0,25.0,12/24/2025,NULL
PLAN-152,Gold PPO,PPO,FL,1082.54,6425.83,20.0,38.0,20.0,1/23/2024,NULL
PLAN-153,Platinum PPO,PPO,National,572.41,4060.55,14.0,31.0,10.0,6/18/2025,NULL
PLAN-154,Bronze HMO,HMO,WA,5925.11,8597.15,40.0,80.0,40.0,8/3/2023,NULL
PLAN-155,Silver HMO,HMO,MA,2410.41,7829.82,33.0,61.0,25.0,4/5/2024,NULL
PLAN-156,Gold HMO,HMO,OH,996.42,5221.33,24.0,35.0,20.0,4/27/2025,NULL
PLAN-157,Platinum HMO,HMO,MI,649.26,4109.93,10.0,29.0,10.0,3/5/2024,NULL
PLAN-158,Bronze EPO,EPO,CO,5766.56,8015.78,44.0,80.0,40.0,6/26/2023,NULL
PLAN-159,Silver EPO,EPO,AZ,3491.33,7476.25,30.0,58.0,25.0,12/14/2023,NULL
PLAN-160,Gold EPO,EPO,National,782.52,6174.84,25.0,51.0,20.0,9/8/2024,NULL
PLAN-161,Platinum EPO,EPO,PA,280.41,4478.98,16.0,38.0,10.0,8/21/2024,NULL
PLAN-162,Bronze HDHP,HDHP,CA,5330.69,8899.27,45.0,89.0,40.0,2/16/2025,NULL
PLAN-163,Silver HDHP,HDHP,TX,3266.15,7548.36,30.0,67.0,25.0,2/5/2023,NULL
PLAN-164,Gold HDHP,HDHP,NY,1204.07,5148.77,16.0,55.0,20.0,9/10/2025,NULL
PLAN-165,Platinum HDHP,HDHP,FL,465.03,4888.09,16.0,35.0,10.0,9/24/2025,NULL
PLAN-166,Bronze PPO,PPO,IL,4937.65,8312.52,44.0,85.0,40.0,7/14/2024,NULL
PLAN-167,Silver PPO,PPO,National,2193.13,7738.8,27.0,56.0,25.0,11/16/2023,2/14/2025
PLAN-168,Gold PPO,PPO,MA,841.67,5530.4,25.0,48.0,20.0,9/18/2025,NULL
PLAN-169,Platinum PPO,PPO,OH,425.82,4577.92,13.0,29.0,10.0,1/10/2025,NULL
PLAN-170,Bronze HMO,HMO,MI,5050.34,8556.27,41.0,84.0,40.0,8/8/2025,NULL
PLAN-171,Silver HMO,HMO,CO,3121.93,7767.43,34.0,55.0,25.0,4/26/2025,NULL
PLAN-172,Gold HMO,HMO,AZ,771.71,5409.91,19.0,45.0,20.0,11/27/2025,NULL
PLAN-173,Platinum HMO,HMO,GA,533.16,4400.78,12.0,25.0,10.0,1/6/2024,NULL
PLAN-174,Bronze EPO,EPO,National,5259.5,8340.9,45.0,84.0,40.0,12/17/2023,NULL
PLAN-175,Silver EPO,EPO,CA,3192.45,7883.34,27.0,60.0,25.0,6/25/2025,NULL
PLAN-176,Gold EPO,EPO,TX,1114.25,5663.07,19.0,41.0,20.0,1/22/2025,11/14/2026
PLAN-177,Platinum EPO,EPO,NY,391.62,4678.49,17.0,34.0,10.0,2/12/2025,NULL
PLAN-178,Bronze HDHP,HDHP,FL,4164.35,8204.42,43.0,82.0,40.0,4/13/2023,NULL
PLAN-179,Silver HDHP,HDHP,IL,2351.39,7380.21,28.0,66.0,25.0,5/11/2024,12/14/2026
PLAN-180,Gold HDHP,HDHP,WA,1077.16,5689.63,16.0,45.0,20.0,7/28/2023,NULL
PLAN-181,Platinum HDHP,HDHP,National,570.07,4289.52,16.0,25.0,10.0,7/19/2025,NULL
PLAN-182,Bronze PPO,PPO,OH,5380.29,8689.61,45.0,81.0,40.0,3/26/2024,NULL
PLAN-183,Silver PPO,PPO,MI,2800.9,7078.65,29.0,65.0,25.0,2/8/2024,NULL
PLAN-184,Gold PPO,PPO,CO,1132.86,5171.04,23.0,41.0,20.0,6/25/2023,NULL
PLAN-185,Platinum PPO,PPO,AZ,572.72,4147.69,11.0,29.0,10.0,6/24/2024,NULL
PLAN-186,Bronze HMO,HMO,GA,6280.65,8655.51,42.0,90.0,40.0,4/6/2024,NULL
PLAN-187,Silver HMO,HMO,PA,3158.94,7681.13,34.0,65.0,25.0,8/25/2024,NULL
PLAN-188,Gold HMO,HMO,National,1101.69,5947.08,19.0,53.0,20.0,6/5/2025,NULL
PLAN-189,Platinum HMO,HMO,TX,278.45,4831.7,11.0,27.0,10.0,6/17/2023,8/2/2026
PLAN-190,Bronze EPO,EPO,NY,5740.99,8954.23,40.0,87.0,40.0,10/17/2025,NULL
PLAN-191,Silver EPO,EPO,FL,2951.26,7150.86,25.0,69.0,25.0,11/7/2025,NULL
PLAN-192,Gold EPO,EPO,IL,1280.72,6486.48,23.0,51.0,20.0,6/23/2023,1/8/2025
PLAN-193,Platinum EPO,EPO,WA,391.45,4408.77,15.0,26.0,10.0,3/12/2025,NULL
PLAN-194,Bronze HDHP,HDHP,MA,5159.69,8252.0,50.0,89.0,40.0,11/11/2025,NULL
PLAN-195,Silver HDHP,HDHP,National,2282.86,7349.82,35.0,67.0,25.0,6/3/2023,NULL
PLAN-196,Gold HDHP,HDHP,MI,982.19,5565.02,20.0,39.0,20.0,10/23/2023,NULL
PLAN-197,Platinum HDHP,HDHP,CO,748.58,4912.45,11.0,38.0,10.0,12/27/2025,NULL
PLAN-198,Bronze PPO,PPO,AZ,4540.79,8214.19,47.0,83.0,40.0,6/1/2025,NULL
PLAN-199,Silver PPO,PPO,GA,3079.54,7738.64,33.0,56.0,25.0,3/5/2023,9/25/2025
PLAN-200,Gold PPO,PPO,PA,1197.93,5231.38,17.0,54.0,20.0,6/25/2025,NULL
